id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention,perceived_stress_score,digital_stress_score,academic_motivation_score,wellbeing_score,exam_anxiety_score
160,Male,24,1,Applied Psychology,Part-time,7.1,5.7,3.3,6.5,2,4.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,5.0,1.0,3.0,3.0,4.5,3.6666666666666665,3.4,2.4,3.75
161,Female,23,1,Social Sciences,Not employed,8.13,4.6,3.4,5.2,1,5.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,,4.25,3.1666666666666665,2.8,2.2,3.5
162,Female,22,4,Psychology,Full-time,7.71,6.9,2.8,7.3,1,5.0,,4.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,4.666666666666667,3.1666666666666665,1.8,1.2,5.0
163,Female,18,2,Social Sciences,Full-time,8.35,6.9,2.7,7.0,1,1.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,,2.0,1.0,4.0,4.0,3.0,1.5,2.3333333333333335,2.0,4.6,1.6666666666666667
164,Male,23,4,Applied Psychology,Full-time,7.48,6.7,2.3,6.7,2,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.75,3.3333333333333335,3.0,2.6,3.25
165,Male,24,3,Social Sciences,Not employed,8.27,6.1,2.5,6.1,2,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,,2.0,3.25,3.1666666666666665,2.0,1.8,3.75
166,Female,29,5,Psychology,Part-time,7.43,2.3,0.6,6.4,3,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,2.75,2.5,3.0,4.0,1.75
167,Female,26,5,Applied Psychology,Not employed,8.24,7.1,2.0,6.3,2,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.3333333333333335,1.6,1.8,3.0
168,Male,23,5,Psychology,Full-time,8.47,3.2,1.2,8.4,4,1.0,5.0,2.0,4.0,3.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,1.5,1.6,2.2,4.2,1.75
169,Male,20,2,Applied Psychology,Not employed,7.38,6.6,2.0,7.2,3,3.0,2.0,3.0,,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.3333333333333335,2.8333333333333335,1.6,3.8,3.75
170,Female,19,5,Psychology,Not employed,8.99,7.0,2.0,8.4,1,3.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,2.8333333333333335,3.4,3.2,3.25
171,Female,22,1,Applied Psychology,Not employed,6.45,4.6,2.2,7.7,2,5.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,2.0,2.6,2.2,4.5
172,Male,24,5,Applied Psychology,Not employed,7.83,4.8,4.0,7.2,1,4.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,3.5,2.3333333333333335,1.8,3.0,4.25
173,Male,21,2,Applied Psychology,Not employed,7.66,8.7,5.7,5.9,1,5.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,4.25,5.0,2.0,1.2,4.75
174,Female,21,2,Applied Psychology,Part-time,8.89,3.2,4.1,7.8,2,1.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,,5.0,2.25,3.0,4.2,3.2,2.25
175,Female,20,2,Applied Psychology,Not employed,7.22,7.7,2.2,5.7,0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.5,2.6666666666666665,4.6,1.2,3.25
176,Female,19,2,Social Sciences,Part-time,9.1,5.6,2.6,6.8,1,4.0,4.0,4.0,4.0,4.0,3.0,2.0,,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,3.2,2.6,3.4,3.25
177,Female,23,3,Psychology,Not employed,7.27,7.3,2.5,7.4,2,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.5
178,Female,27,5,Psychology,Part-time,8.36,7.4,3.5,7.0,2,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.5,3.8333333333333335,3.8,3.2,3.25
179,Female,23,1,Social Sciences,Part-time,7.39,7.2,3.1,7.4,1,5.0,1.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,4.75,4.666666666666667,2.25,2.2,3.75
180,Female,21,3,Psychology,Not employed,7.54,4.7,4.1,9.2,4,1.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,,3.0,4.0,4.0,4.0,1.25,2.1666666666666665,4.0,3.4,2.0
181,Female,22,3,Applied Psychology,Not employed,7.61,5.5,4.0,6.5,2,5.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,4.75,2.6666666666666665,1.2,2.2,2.75
182,Female,23,4,Applied Psychology,Not employed,8.24,5.3,3.3,7.5,1,2.0,3.0,3.0,4.0,,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.5,2.6,1.4,2.0,2.5
183,Female,18,3,Applied Psychology,Not employed,8.75,3.3,2.4,7.5,6,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0,2.25,1.3333333333333333,1.8,4.8,3.0
184,Female,19,5,Applied Psychology,Not employed,8.7,5.7,3.8,7.1,1,5.0,2.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,4.75,4.333333333333333,3.0,1.0,4.75
185,Male,18,2,Applied Psychology,Not employed,7.54,4.0,3.7,7.8,1,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,3.75,3.0,1.6,1.6,3.5
186,Female,18,2,Applied Psychology,Part-time,7.66,6.3,4.6,6.2,3,4.0,2.0,2.0,5.0,3.0,,5.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0,2.75,4.0,3.0,2.4,3.25
187,Female,22,4,Social Sciences,Not employed,7.71,5.0,3.3,7.6,2,1.0,5.0,1.0,3.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,1.5,4.2,4.2,3.0,3.0
188,Male,19,3,Applied Psychology,Not employed,7.86,5.1,5.5,6.7,1,4.0,1.0,5.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,5.0,,1.0,5.0,3.0,4.75,3.8333333333333335,3.4,2.4,3.3333333333333335
189,Female,23,2,Psychology,Full-time,7.9,6.5,3.5,5.4,2,5.0,1.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,4.0,1.4,1.8,4.5
190,Female,18,2,Applied Psychology,Not employed,8.25,6.9,1.4,5.7,2,4.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0,3.5,1.3333333333333333,3.2,2.8,4.25
191,Male,20,4,Applied Psychology,Not employed,7.21,6.7,2.0,6.0,3,3.0,3.0,2.0,3.0,5.0,,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.75,3.8,3.6,4.0,3.75
192,Female,21,2,Applied Psychology,Part-time,8.25,7.6,2.4,7.0,3,3.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,3.5,4.333333333333333,2.25,2.0,3.5
193,Female,20,2,Psychology,Not employed,7.94,3.3,1.6,7.7,3,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.5,2.1666666666666665,3.4,1.8,1.5
194,Male,24,2,Applied Psychology,Not employed,8.15,3.8,4.3,7.0,2,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,2.5,3.8,3.4,2.75
195,Male,22,3,Applied Psychology,Part-time,8.39,4.9,2.1,6.7,1,4.0,2.0,4.0,3.0,,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.75,2.4,1.6,2.6,3.0
196,Male,19,2,Applied Psychology,Not employed,8.6,5.9,3.5,7.4,1,1.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,4.333333333333333,1.6,2.2,4.25
197,Female,22,5,Applied Psychology,Not employed,8.77,3.6,1.6,8.6,2,3.0,5.0,1.0,5.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,1.5,2.0,4.6,4.2,2.5
198,Prefer not to say,18,4,Psychology,Not employed,7.02,5.9,1.9,8.0,1,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,2.75,2.6666666666666665,2.8,2.0,3.0
199,Male,20,1,Psychology,Part-time,8.15,7.3,1.7,5.4,1,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.6666666666666665,4.0,2.6,3.0
200,Female,20,1,Social Sciences,Part-time,8.79,5.1,1.1,7.2,3,1.0,3.0,2.0,5.0,,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,1.75,1.4,3.8,4.6,2.25
201,Male,25,3,Applied Psychology,Part-time,8.55,3.8,1.9,8.6,3,1.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.8333333333333333,4.4,4.8,1.0
202,Female,20,5,Psychology,Not employed,7.54,4.0,3.2,7.1,3,2.0,4.0,1.0,3.0,2.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.2,1.4,3.4,1.0
203,Male,21,4,Applied Psychology,Not employed,8.02,5.8,4.6,6.5,2,1.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,1.25,4.833333333333333,3.4,3.2,4.0
204,Male,20,2,Applied Psychology,Part-time,8.22,5.5,4.1,8.2,3,1.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,,4.0,2.0,3.0,1.5,1.6666666666666667,2.0,3.8,2.0
205,Female,23,1,Psychology,Not employed,8.4,6.3,2.7,6.3,3,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5,2.8333333333333335,3.4,3.6,3.25
206,Female,21,5,Applied Psychology,Not employed,6.83,5.5,2.3,7.5,1,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.75,3.1666666666666665,1.4,1.8,2.75
207,Male,19,5,Applied Psychology,Not employed,8.58,5.8,3.2,7.5,4,2.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0,3.25,3.3333333333333335,3.8,4.0,2.0
208,Female,23,2,Applied Psychology,Not employed,7.24,3.8,2.4,5.6,2,5.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,4.75,2.8333333333333335,2.4,1.8,2.75
209,Female,18,1,Psychology,Full-time,8.31,7.2,1.3,7.5,2,2.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,1.75,3.3333333333333335,3.25,3.6,3.0
210,Male,19,2,Psychology,Not employed,7.73,2.1,0.2,9.5,3,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,4.0,1.0,1.0,3.25,5.0,2.0
211,Female,19,2,Applied Psychology,Part-time,8.1,7.4,1.4,8.6,1,1.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,,2.0,2.0,2.0,3.0,2.0,3.0,1.5,3.0,3.2,2.8,2.0
212,Male,19,2,Applied Psychology,Part-time,8.37,5.5,2.3,9.3,4,2.0,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,1.3333333333333333,1.6666666666666667,4.6,4.4,1.75
213,Male,22,2,Applied Psychology,Not employed,7.78,6.1,3.8,6.7,2,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.25,3.5,4.2,1.0,3.25
214,Prefer not to say,23,1,Applied Psychology,Part-time,7.44,6.3,4.7,6.5,4,4.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,4.5,1.2,2.8,5.0
215,Female,21,3,Applied Psychology,Part-time,8.51,5.5,3.9,6.7,1,4.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,3.75,2.6666666666666665,3.0,1.4,2.0
216,Female,22,1,Psychology,Not employed,8.88,6.0,3.7,6.3,0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.75,3.5,2.6,2.75,2.75
217,Female,23,3,Applied Psychology,Not employed,8.71,6.3,2.0,6.9,1,1.0,5.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,1.5,2.8333333333333335,3.8,3.6,1.75
218,Male,20,4,Applied Psychology,Part-time,8.94,7.5,3.0,6.0,2,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,2.25,3.8333333333333335,4.6,3.8,1.75
219,Female,23,4,Psychology,Not employed,7.25,6.0,3.0,7.1,2,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.6,3.0,2.5
220,Female,23,5,Applied Psychology,Part-time,8.59,6.2,2.1,7.7,3,1.0,5.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,,3.0,1.0,2.3333333333333335,3.2,4.2,1.0
221,Male,18,1,Applied Psychology,Not employed,9.02,6.1,2.6,7.3,1,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.75,3.0,3.8,3.0,2.75
222,Female,23,1,Applied Psychology,Part-time,9.67,6.7,5.4,6.3,1,5.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.75,4.5,3.0,1.2,5.0
223,Female,21,5,Psychology,Not employed,7.36,5.3,1.8,6.9,3,3.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,3.75,1.6666666666666667,2.8,1.2,4.25
224,Female,21,1,Psychology,Part-time,8.32,6.0,4.7,7.0,4,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.5,3.8333333333333335,3.8,2.8,2.25
225,Male,25,1,Applied Psychology,Not employed,8.61,5.9,2.7,6.3,3,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2.8333333333333335,3.6,3.6,3.0
226,Female,23,2,Applied Psychology,Not employed,8.43,4.4,3.2,6.9,3,1.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,,2.0,4.333333333333333,4.0,2.4,3.5
227,Female,22,4,Psychology,Part-time,8.63,7.3,2.2,7.1,4,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,4.0,5.0,2.5,2.3333333333333335,4.0,5.0,2.25
228,Male,22,2,Social Sciences,Part-time,8.23,5.8,2.3,7.3,4,3.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.75,3.1666666666666665,1.8,3.4,1.0
229,Female,19,5,Applied Psychology,Part-time,7.44,4.7,1.8,7.5,2,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,,3.0,3.0,4.0,3.0,,3.0,3.0,2.75,2.6666666666666665,2.4,3.25,3.25
230,Female,21,3,Applied Psychology,Not employed,8.64,7.5,2.5,6.8,2,1.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.75,3.5,3.0,3.6,2.75
231,Female,23,3,Psychology,Part-time,8.06,6.1,3.1,6.2,1,4.0,3.0,4.0,2.0,,5.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,3.75,4.4,1.2,2.0,3.0
232,Female,23,1,Applied Psychology,Not employed,8.21,4.9,0.5,8.3,4,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,5.0,1.25,1.5,5.0,4.6,1.75
233,Female,20,4,Applied Psychology,Not employed,8.13,7.0,4.8,6.9,0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,1.0,5.0,2.0,3.5,4.666666666666667,3.8,1.8,4.5
234,Male,25,4,Psychology,Not employed,7.04,5.7,1.3,6.3,3,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,3.5,3.3333333333333335,1.6,2.8,3.5
235,Male,24,2,Psychology,Not employed,7.3,6.8,2.6,6.3,1,2.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,,3.0,3.0,3.0,3.0,4.0,3.0,,2.0,4.166666666666667,2.0,3.25,3.0
236,Female,21,5,Applied Psychology,Full-time,8.04,4.4,2.2,7.5,2,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,2.25,1.3333333333333333,3.4,4.0,1.25
237,Female,23,3,Applied Psychology,Part-time,8.5,8.0,2.7,7.0,2,1.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.333333333333333,4.8,3.4,3.5
238,Male,18,1,Applied Psychology,Part-time,8.51,4.8,2.0,7.0,2,2.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,1.75,3.0,2.8,3.0,3.5
239,Male,21,3,Psychology,Part-time,9.21,5.9,1.5,6.5,2,1.0,3.0,1.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.5,2.5,3.25,3.2,2.25
