id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention
186,Female,18,2,Applied Psychology,Part-time,7.66,6.3,4.6,6.2,3,4.0,2.0,2.0,5.0,3.0,,5.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0
187,Female,22,4,Social Sciences,Not employed,7.71,5.0,3.3,7.6,2,1.0,5.0,1.0,3.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0
188,Male,19,3,Applied Psychology,Not employed,7.86,5.1,5.5,6.7,1,4.0,1.0,5.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,5.0,,1.0,5.0,3.0
189,Female,23,2,Psychology,Full-time,7.9,6.5,3.5,5.4,2,5.0,1.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0
190,Female,18,2,Applied Psychology,Not employed,8.25,6.9,1.4,5.7,2,4.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0
191,Male,20,4,Applied Psychology,Not employed,7.21,6.7,2.0,6.0,3,3.0,3.0,2.0,3.0,5.0,,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
192,Female,21,2,Applied Psychology,Part-time,8.25,7.6,2.4,7.0,3,3.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0
193,Female,20,2,Psychology,Not employed,7.94,3.3,1.6,7.7,3,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0
194,Male,24,2,Applied Psychology,Not employed,8.15,3.8,4.3,7.0,2,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0
195,Male,22,3,Applied Psychology,Part-time,8.39,4.9,2.1,6.7,1,4.0,2.0,4.0,3.0,,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0
196,Male,19,2,Applied Psychology,Not employed,8.6,5.9,3.5,7.4,1,1.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0
197,Female,22,5,Applied Psychology,Not employed,8.77,3.6,1.6,8.6,2,3.0,5.0,1.0,5.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0
198,Prefer not to say,18,4,Psychology,Not employed,7.02,5.9,1.9,8.0,1,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0
199,Male,20,1,Psychology,Part-time,8.15,7.3,1.7,5.4,1,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0
200,Female,20,1,Social Sciences,Part-time,8.79,5.1,1.1,7.2,3,1.0,3.0,2.0,5.0,,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0
201,Male,25,3,Applied Psychology,Part-time,8.55,3.8,1.9,8.6,3,1.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0
202,Female,20,5,Psychology,Not employed,7.54,4.0,3.2,7.1,3,2.0,4.0,1.0,3.0,2.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0
203,Male,21,4,Applied Psychology,Not employed,8.02,5.8,4.6,6.5,2,1.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
204,Male,20,2,Applied Psychology,Part-time,8.22,5.5,4.1,8.2,3,1.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,,4.0,2.0,3.0
205,Female,23,1,Psychology,Not employed,8.4,6.3,2.7,6.3,3,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
206,Female,21,5,Applied Psychology,Not employed,6.83,5.5,2.3,7.5,1,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0
207,Male,19,5,Applied Psychology,Not employed,8.58,5.8,3.2,7.5,4,2.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0
208,Female,23,2,Applied Psychology,Not employed,7.24,3.8,2.4,5.6,2,5.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0
209,Female,18,1,Psychology,Full-time,8.31,7.2,1.3,7.5,2,2.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0
210,Male,19,2,Psychology,Not employed,7.73,2.1,0.2,9.5,3,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,4.0
211,Female,19,2,Applied Psychology,Part-time,8.1,7.4,1.4,8.6,1,1.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,,2.0,2.0,2.0,3.0,2.0,3.0
212,Male,19,2,Applied Psychology,Part-time,8.37,5.5,2.3,9.3,4,2.0,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0
213,Male,22,2,Applied Psychology,Not employed,7.78,6.1,3.8,6.7,2,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0
214,Prefer not to say,23,1,Applied Psychology,Part-time,7.44,6.3,4.7,6.5,4,4.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0
215,Female,21,3,Applied Psychology,Part-time,8.51,5.5,3.9,6.7,1,4.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0
216,Female,22,1,Psychology,Not employed,8.88,6.0,3.7,6.3,0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,,2.0,4.0,2.0,3.0,3.0,3.0,4.0
217,Female,23,3,Applied Psychology,Not employed,8.71,6.3,2.0,6.9,1,1.0,5.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0
218,Male,20,4,Applied Psychology,Part-time,8.94,7.5,3.0,6.0,2,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0
219,Female,23,4,Psychology,Not employed,7.25,6.0,3.0,7.1,2,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0
220,Female,23,5,Applied Psychology,Part-time,8.59,6.2,2.1,7.7,3,1.0,5.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,,3.0
221,Male,18,1,Applied Psychology,Not employed,9.02,6.1,2.6,7.3,1,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0
222,Female,23,1,Applied Psychology,Part-time,9.67,6.7,5.4,6.3,1,5.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0
223,Female,21,5,Psychology,Not employed,7.36,5.3,1.8,6.9,3,3.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0
224,Female,21,1,Psychology,Part-time,8.32,6.0,4.7,7.0,4,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0
225,Male,25,1,Applied Psychology,Not employed,8.61,5.9,2.7,6.3,3,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0
226,Female,23,2,Applied Psychology,Not employed,8.43,4.4,3.2,6.9,3,1.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,
227,Female,22,4,Psychology,Part-time,8.63,7.3,2.2,7.1,4,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,4.0,5.0
228,Male,22,2,Social Sciences,Part-time,8.23,5.8,2.3,7.3,4,3.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0
229,Female,19,5,Applied Psychology,Part-time,7.44,4.7,1.8,7.5,2,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,,3.0,3.0,4.0,3.0,,3.0,3.0
230,Female,21,3,Applied Psychology,Not employed,8.64,7.5,2.5,6.8,2,1.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0
231,Female,23,3,Psychology,Part-time,8.06,6.1,3.1,6.2,1,4.0,3.0,4.0,2.0,,5.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0
232,Female,23,1,Applied Psychology,Not employed,8.21,4.9,0.5,8.3,4,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,3.0,5.0
233,Female,20,4,Applied Psychology,Not employed,8.13,7.0,4.8,6.9,0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,1.0,5.0,2.0
234,Male,25,4,Psychology,Not employed,7.04,5.7,1.3,6.3,3,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0
235,Male,24,2,Psychology,Not employed,7.3,6.8,2.6,6.3,1,2.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,,3.0,3.0,3.0,3.0,4.0,3.0,
236,Female,21,5,Applied Psychology,Full-time,8.04,4.4,2.2,7.5,2,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
237,Female,23,3,Applied Psychology,Part-time,8.5,8.0,2.7,7.0,2,1.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
238,Male,18,1,Applied Psychology,Part-time,8.51,4.8,2.0,7.0,2,2.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0
239,Male,21,3,Psychology,Part-time,9.21,5.9,1.5,6.5,2,1.0,3.0,1.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0
240,Female,20,4,Applied Psychology,Not employed,8.49,3.6,3.1,7.2,2,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0
241,Female,21,5,Applied Psychology,Not employed,7.89,4.3,1.1,8.1,4,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
242,Male,22,3,Applied Psychology,Not employed,8.44,2.7,3.5,7.1,3,5.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,5.0,1.0
243,Female,20,2,Applied Psychology,Not employed,8.03,5.4,3.7,5.8,2,4.0,3.0,3.0,4.0,,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0
244,Female,19,3,Psychology,Not employed,7.51,6.3,3.2,7.4,2,2.0,4.0,2.0,4.0,3.0,3.0,,2.0,3.0,,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,
245,Male,23,3,Psychology,Part-time,8.67,7.9,3.7,7.1,2,4.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0
246,Female,24,5,Psychology,Not employed,9.26,5.9,6.1,6.2,3,3.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,,3.0,5.0,,5.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0
247,Female,20,4,Applied Psychology,Part-time,8.39,3.8,2.2,7.5,3,4.0,2.0,4.0,,3.0,,3.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0
248,Female,21,3,Psychology,Part-time,8.33,6.9,1.9,6.3,4,4.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,,1.0,3.0,3.0
249,Male,25,5,Applied Psychology,Not employed,9.36,5.6,4.1,6.9,3,3.0,5.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0
250,Male,21,3,Applied Psychology,Not employed,7.87,3.9,1.0,7.2,3,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0
251,Male,23,1,Psychology,Part-time,8.34,6.7,3.3,5.9,3,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0
252,Male,24,2,Applied Psychology,Part-time,8.99,6.5,2.6,6.3,1,5.0,1.0,5.0,1.0,3.0,4.0,5.0,5.0,4.0,5.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0
253,Prefer not to say,23,3,Social Sciences,Not employed,8.72,4.6,3.6,7.2,0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
254,Male,24,4,Applied Psychology,Part-time,6.94,5.4,3.1,6.3,1,1.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,,4.0,3.0
255,Male,18,1,Social Sciences,Not employed,7.35,6.6,1.7,6.3,1,4.0,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,1.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0
256,Female,19,1,Applied Psychology,Not employed,7.5,3.3,0.8,8.2,3,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,,2.0,1.0,5.0,3.0,4.0
257,Male,22,2,Applied Psychology,Part-time,7.98,7.5,4.2,6.4,2,4.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,1.0
258,Female,23,2,Applied Psychology,Not employed,7.18,5.8,3.0,6.0,2,3.0,1.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,3.0,2.0
259,Female,21,3,Psychology,Not employed,8.34,4.9,3.6,5.6,1,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0
260,Female,22,3,Applied Psychology,Not employed,9.18,7.0,4.9,7.1,0,4.0,,3.0,3.0,4.0,4.0,5.0,,3.0,5.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,,2.0,2.0,2.0
261,Male,23,5,Applied Psychology,Full-time,7.52,7.1,3.1,6.7,5,3.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0
262,Male,23,3,Applied Psychology,Not employed,8.43,4.6,1.6,8.5,2,3.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0
263,Female,20,5,Applied Psychology,Not employed,6.68,5.8,2.8,8.5,2,1.0,5.0,1.0,,3.0,4.0,2.0,2.0,1.0,,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0
264,Male,22,5,Applied Psychology,Full-time,8.04,5.6,4.0,5.8,4,4.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0
265,Prefer not to say,27,1,Applied Psychology,Not employed,8.38,6.3,4.1,6.2,2,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0
266,Female,22,2,Psychology,Not employed,7.42,7.0,2.9,6.1,3,2.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
267,Female,20,5,Applied Psychology,Not employed,8.01,4.1,1.3,8.1,4,1.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0
268,Female,22,3,Social Sciences,Part-time,8.93,3.9,1.0,8.0,3,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
269,Male,25,3,Psychology,Not employed,8.44,4.1,2.8,6.3,1,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0
270,Female,20,3,Applied Psychology,Full-time,7.76,6.5,2.8,7.3,3,5.0,2.0,5.0,3.0,4.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0
271,Female,20,1,Psychology,Part-time,6.53,7.0,2.0,8.8,2,,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0
272,Female,18,2,Applied Psychology,Not employed,8.04,5.9,3.0,7.6,0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0
273,Male,18,4,Applied Psychology,Not employed,8.49,7.4,3.2,6.7,3,2.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0
274,Male,26,4,Applied Psychology,Part-time,8.04,6.1,2.7,7.7,2,,3.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0
275,Male,18,5,Applied Psychology,Not employed,7.72,4.3,1.7,8.1,1,3.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0
276,Prefer not to say,19,1,Psychology,Part-time,9.18,4.3,3.7,7.7,4,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,,2.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,4.0,2.0,3.0,,3.0,4.0
277,Male,21,1,Social Sciences,Not employed,7.97,5.7,3.6,7.4,3,3.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0
278,Female,19,4,Applied Psychology,Not employed,8.04,4.6,1.8,7.5,1,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0
